No,id,nama_perusahaan,status_kepemilikan,kelompok_jasa,bidang_jasa,kemampuan_jasa,sub_kemampuan_jasa,peringkat,kategori_keberpihakan,status_audit,provinsi,kabupaten
120,907,PT BUMA PERINDAHINDO,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Untuk Konstruksi Bangunan Multi Atau Banyak Hunian,3,Tinggi,Sudah Verifikasi,Papua,Kota Sorong
121,921,PT INSPEKSI TEKNIK BERSAMA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
122,977,PT SK Metalindo,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perakit Perekayasa Alat Ukur Minyak Dan Gas Bumi,1,Rendah,Belum Verifikasi,Jawa Barat,Bekasi
123,980,PT TIMAS SUPLINDO,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Industri Proses,Jasa Terintegrasi Untuk Konstruksi Fasilitas Minyak Dan Gas ,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
124,980,PT TIMAS SUPLINDO,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
125,980,PT TIMAS SUPLINDO,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Pengelolaan Limbah Pemboran Dan Produksi,Pengelolaan Limbah Pemboran,Pengelolaan Limbah Lumpur Pemboran,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
126,980,PT TIMAS SUPLINDO,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Pengelolaan Limbah Pemboran Dan Produksi,Pengelolaan Limbah Produksi,Pengelolaan Limbah Sludge,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
127,980,PT TIMAS SUPLINDO,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Operasi Sumur Pemboran,Kerja Ulang Sumur (Workover),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
128,980,PT TIMAS SUPLINDO,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei G&G,Pengujian Sumur (Well Testing),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
129,987,PT SARANA INDO PERSADA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Operasi Sumur Pemboran,Kerja Ulang Sumur (Workover),1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
