No,id,nama_perusahaan,status_kepemilikan,kelompok_jasa,bidang_jasa,kemampuan_jasa,sub_kemampuan_jasa,peringkat,kategori_keberpihakan,status_audit,provinsi,kabupaten
228,1586,PT SEVEN OFFSHORE INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Tug Boat,1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Utara
229,1587,PT Alam Daya Makmur,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,Instalasi Kontrol Dan Instrumentasi,1,Rendah,Belum Verifikasi,Jawa Barat,Kota Bandung
230,1590,PT KOTAMINYAK INTERNUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengoperasian Dan Pemeliharaan Sistem Pengendali Operasi Sumur Produksi (Controlling),1,Tinggi,Belum Verifikasi,Kalimantan Timur,Kota Balikpapan
231,1590,PT KOTAMINYAK INTERNUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengoperasian Dan Pemeliharaan Sistem Pemantau Operasi Sumur Produksi (Monitoring),1,Tinggi,Belum Verifikasi,Kalimantan Timur,Kota Balikpapan
232,1590,PT KOTAMINYAK INTERNUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengecatan (Painting),1,Tinggi,Belum Verifikasi,Kalimantan Timur,Kota Balikpapan
233,1590,PT KOTAMINYAK INTERNUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Blasting,1,Tinggi,Belum Verifikasi,Kalimantan Timur,Kota Balikpapan
234,1590,PT KOTAMINYAK INTERNUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pencegahan Karat,1,Tinggi,Belum Verifikasi,Kalimantan Timur,Kota Balikpapan
235,1591,PT Saferad Servis Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Rendah,Belum Verifikasi,Kepulauan Riau,Kota B A T A M
236,1593,OPTIMA SINERGI COMVESTAMA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pembersihan Tangki (Tank Cleaning),3,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
237,1595,PT Petronesia Benimel,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,"Jalan Raya, Jalan Lingkungan",1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
238,1595,PT Petronesia Benimel,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
239,1596,PT SOLUSI MAJU JAYA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Tinggi,Belum Verifikasi,Jawa Timur,Tuban
240,1596,PT SOLUSI MAJU JAYA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Tinggi,Belum Verifikasi,Jawa Timur,Tuban
241,1600,PT PJ-TEK MANDIRI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Instalasi,3,Tinggi,Belum Verifikasi,Banten,Kota Tangerang Selatan
242,1600,PT PJ-TEK MANDIRI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Penyiapan Pengujian Teknis Katup Pengaman,3,Tinggi,Belum Verifikasi,Banten,Kota Tangerang Selatan
243,1601,PT DWI AGUNG SENTOSA PRATAMA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Operasi Sumur Pemboran,1,Rendah,Sudah Verifikasi,Banten,Kota Tangerang Selatan
244,1602,PT JALAVEY SAMUDRA RAYA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Timur
245,1602,PT JALAVEY SAMUDRA RAYA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Pesawat Angkat,1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Timur
246,1603,PT TUJUH CAHAYA ABADI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Anchor Handling Tug Supply (AHTS),1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Utara
247,1605,PT SEVEN OFFSHORE WAHANA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Tug Boat,1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Utara
248,1610,PT Armada Bumi Pratiwi Lines,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Floating Production Storage And Offloading (Fpso) Dan/ Atau Fso,Fpso,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
249,1610,PT Armada Bumi Pratiwi Lines,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Oil Tanker ,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
250,1615,PT HITACHI SAKTI ENERGY INDONESIA,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Elektrikal ,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
251,1622,PT HI-TEST,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Merusak (Destructive Testing),1,Tinggi,Belum Verifikasi,Kepulauan Riau,Kota B A T A M
252,1623,PT ADIDAYA ENERGY MANDIRI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Mekanikal ,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
253,1630,MITRA AGUNG INDONESIA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,"Jalan Raya, Jalan Lingkungan",1,Tinggi,Belum Verifikasi,Nangroe Aceh Darussalam,Kota Langsa
254,1630,MITRA AGUNG INDONESIA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Tinggi,Belum Verifikasi,Nangroe Aceh Darussalam,Kota Langsa
255,1634,PT SPARROWS OFFSHORE,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Pesawat Angkat,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
256,1636,ROBUTECH,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Penyiapan Pengujian Teknis Kualifikasi Juru Las,2,Rendah,Sudah Verifikasi,Jawa Timur,Kota Surabaya
257,1636,ROBUTECH,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),2,Rendah,Sudah Verifikasi,Jawa Timur,Kota Surabaya
258,1638,PT Global Teknik Inspeksi,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),3,Tinggi,Belum Verifikasi,Riau,Bengkalis
259,1642,PT ARTHAKENCANA PRIMAINDO,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,Instalasi Kontrol Dan Instrumentasi,1,Rendah,Belum Verifikasi,Sumatera Utara,Kota Medan
260,1642,PT ARTHAKENCANA PRIMAINDO,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Pemompaan,1,Rendah,Belum Verifikasi,Sumatera Utara,Kota Medan
261,1645,PT PUTRA BAJENG,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Untuk Konstruksi Bangunan Multi Atau Banyak Hunian,1,Tinggi,Belum Verifikasi,Sulawesi Selatan,Gowa
262,1646,PT Radius Sembilan Utama,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Pesawat Angkat,2,Tinggi,Sudah Verifikasi,Kalimantan Timur,Kota Balikpapan
263,1646,PT Radius Sembilan Utama,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),2,Tinggi,Sudah Verifikasi,Kalimantan Timur,Kota Balikpapan
264,1649,PT KWARTA PRATAMA TEKNIK,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),2,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
265,1652,PT SUMBER DATA PERSADA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Penelitian Dan Pengembangan,Penelitian Laboratorium,Rekayasa Fludia Pemboran (Mud Engineering),2,Tinggi,Belum Verifikasi,Jawa Barat,Kota Bekasi
266,1652,PT SUMBER DATA PERSADA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei G&G,Mud Logging,2,Tinggi,Belum Verifikasi,Jawa Barat,Kota Bekasi
267,1654,PT WIJAYA KARYA REKAYASA KONSTRUKSI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Timur
268,1654,PT WIJAYA KARYA REKAYASA KONSTRUKSI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Industri Manufaktur/Fabrikasi,"Penunjang Industri Minyak, Gas, Transportasi Dan Industri",1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Timur
269,1654,PT WIJAYA KARYA REKAYASA KONSTRUKSI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,Pelabuhan Atau Dermaga,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Timur
270,1660,DHARMA PRADANA INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Blasting,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
271,1661,PATRA GEOTEK ENVIRONUSA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Interpretasi G&G,Interpretasi Data Geologi Dan Geofisika,1,Tinggi,Belum Verifikasi,Riau,Kota Pekanbaru
272,1662,NUSANTARA SERTIFIKASI INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),2,Rendah,Belum Verifikasi,Nangroe Aceh Darussalam,Kota Lhokseumawe
273,1663,PT Kian Santang,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Instalasi,3,Rendah,Belum Verifikasi,Jawa Barat,Kota Bekasi
274,1663,PT Kian Santang,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Penyiapan Pengujian Teknis Katup Pengaman,3,Rendah,Belum Verifikasi,Jawa Barat,Kota Bekasi
275,1665,PT FAJAR MITRA HUTAMA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Tinggi,Belum Verifikasi,Jawa Barat,Kota Bekasi
276,1665,PT FAJAR MITRA HUTAMA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Mekanikal ,1,Tinggi,Belum Verifikasi,Jawa Barat,Kota Bekasi
277,1670,PANRITA TEKNINDO MANDIRI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Tinggi,Belum Verifikasi,Sulawesi Selatan,Kota Makassar
278,1671,PT REMAJA BANGUN KENCANA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Jasa Pemboran ,Pemboran Di Daratan (Onshore Drilling),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
279,1672,PT CITRA ADI SARANA INDONESIA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Tinggi,Belum Verifikasi,Jawa Timur,Gresik
280,1674,PT Surya Inti Prima Lestari Abadi,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,"Jalan Raya, Jalan Lingkungan",2,Tinggi,Belum Verifikasi,Jambi,Kota Jambi
281,1677,DIAR ENGINEERING INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Tinggi,Belum Verifikasi,Banten,Serang
282,1679,PT SHAHIB SEJATI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Timur
283,1680,PT Tirta Rizqy Samudera,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Quality Assurance/Quality Control (Qa/Qc) Inspection,1,Tinggi,Belum Verifikasi,Jawa Barat,Kota Bekasi
284,1682,PT NSR Mulia Pratama,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Tinggi,Belum Verifikasi,Sumatera Selatan,Ogan Ilir
285,1685,PT INDOTURBINE,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
286,1685,PT INDOTURBINE,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Pemompaan,1,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Pusat
287,1686,PT NUTRINDO PERTAMA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Rendah,Belum Verifikasi,Jawa Barat,Kota Depok
288,1691,PT NUTRINDO PERTAMA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Tinggi,Belum Verifikasi,Jawa Barat,Kota Depok
289,1694,PT RATIKA FEBRIAN ABADI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Tinggi,Belum Verifikasi,Jawa Barat,Indramayu
290,1694,PT RATIKA FEBRIAN ABADI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Tinggi,Belum Verifikasi,Jawa Barat,Indramayu
291,1695,ALINDA NUSANTARA BAHARI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Self-Propelled Oil Barge (SPOB),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
292,1697,PT Nusareka Prima Engineering,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",1,Tinggi,Belum Verifikasi,Banten,Kota Tangerang
293,1701,PT PRAJANIA SEGARA UTAMA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei  Non G&G,Survei Topografi,1,Tinggi,Belum Verifikasi,Banten,Tangerang
294,1703,PT RATIKA FEBRIAN ABADI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Tinggi,Belum Verifikasi,Jawa Barat,Indramayu
295,1703,PT RATIKA FEBRIAN ABADI,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,1,Tinggi,Belum Verifikasi,Jawa Barat,Indramayu
296,1706,PT NURIRAJA ENERGY,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Mobile Offshore Production and Storage Unit (MOPU),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
297,1713,PT Koin Pratama,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Barat
298,1715,PT ENERPROCO GLOBAL INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Penelitian Dan Pengembangan,Penelitian Laboratorium,Analisis Hasil Pemboran Intl (Core Analysis),1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Selatan
299,1718,PT ULTIMA TESINDO RAYA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
300,1718,PT ULTIMA TESINDO RAYA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Penelitian Dan Pengembangan,Studi Kelayakan,Perekayasa Teknik Non Konstruksi,2,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
301,1721,PT MAHAKARYA ENERGI SEJATI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),1,Tinggi,Belum Verifikasi,DKI Jakarta,Kota Jakarta Utara
302,1723,PT Hanochem Tiaka Samudera,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Floating Production Storage And Offloading (Fpso) Dan/ Atau Fso,Fpso,1,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
303,1724,PT ONASIS INDONESIA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Instalasi Thermal, Bertekanan, Minyak, Gas, Geothermal ",3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
304,1724,PT ONASIS INDONESIA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Sipil,"Jalan Raya, Jalan Lingkungan",3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
305,1724,PT ONASIS INDONESIA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Bangunan Gedung,Jasa Pelaksana Konstruksi Bangunan Gudang Dan Industri,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
306,1724,PT ONASIS INDONESIA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Industri Manufaktur/Fabrikasi,"Penunjang Industri Minyak, Gas, Transportasi Dan Industri",3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
307,1724,PT ONASIS INDONESIA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Terintegrasi,Industri Proses,Jasa Terintegrasi Untuk Konstruksi Fasilitas Minyak Dan Gas ,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
308,1724,PT ONASIS INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Accomodation Work Barge (AWB),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
309,1724,PT ONASIS INDONESIA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pembersihan Tangki (Tank Cleaning),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
310,1725,PT DIAN SAKTI SEMPANA,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Tinggi,Belum Verifikasi,Sumatera Utara,Kota Medan
311,1725,PT DIAN SAKTI SEMPANA,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Pengoperasian Dan Pemeliharaan,Pengecatan (Painting),1,Tinggi,Belum Verifikasi,Sumatera Utara,Kota Medan
312,1727,WASUNDARA ADIKARA ABADI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pemboran ,Operasi Sumur Pemboran,Pemboran Berarah (Directional Drilling),1,Tinggi,Belum Verifikasi,Riau,Kota Pekanbaru
313,1728,PT Georama Karya Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Geologi & Geofisika,Jasa Survei  Non G&G,Survei Topografi,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
314,1729,PT SATOIL,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Inspeksi Teknis Pesawat Angkat,3,Tinggi,Sudah Verifikasi,Banten,Kota Tangerang Selatan
315,1729,PT SATOIL,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis, Pengujian Teknis,Pengujian Tak Merusak (Non Destructive Testing),3,Tinggi,Sudah Verifikasi,Banten,Kota Tangerang Selatan
316,1730,PT ECOSYSTEMS INTERNATIONAL,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Pengelolaan Limbah Pemboran Dan Produksi,Pengelolaan Limbah Pemboran,Pengelolaan Limbah Lumpur Pemboran,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
317,1730,PT ECOSYSTEMS INTERNATIONAL,Perusahaan Modal Asing,JASA NON KONSTRUKSI,Pengelolaan Limbah Pemboran Dan Produksi,Pengelolaan Limbah Produksi,Pengelolaan Limbah Air Terproduksi,1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Pusat
318,1732,Imako perkasa lines,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Penyewaan Pengangkutan,Angkutan  Laut,Tug Boat,2,Tinggi,Belum Verifikasi,Kalimantan Timur,Kota Balikpapan
319,1748,PT PAS JAYA MANDIRI,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Jasa Pengoperasian Dan Pemeliharaan,Jasa Perbaikan Peralatan,Peralatan Elektrikal ,1,Rendah,Belum Verifikasi,Banten,Kota Tangerang Selatan
320,1749,PT Arthakencana Langgeng,Perusahaan Modal Dalam Negeri,JASA KONSTRUKSI,Usaha Pekerjaan Konstruksi,Mekanikal & Elektrikal,"Konstruksi Perpipaan Minyak, Gas, Energi ",1,Rendah,Belum Verifikasi,DKI Jakarta,Kota Jakarta Barat
321,1750,PT Teknologi Weldim Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Inspeksi Teknis Dan Pengujian Teknis,Inspeksi Teknis   ,Risk Base Inspection (R B I),3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
322,1750,PT Teknologi Weldim Indonesia,Perusahaan Modal Dalam Negeri,JASA NON KONSTRUKSI,Penelitian Dan Pengembangan,Studi Kelayakan,Studi Kelayakan Pembukaan Lapangan Produksi Minyak / Gas Bumi,3,Tinggi,Sudah Verifikasi,DKI Jakarta,Kota Jakarta Selatan
